OBJECT_ID,Name of Museum or HC,Add1,Add2,Add3,County,Postcode
73,Craggaunowen- The Living Past,Kilmurry,,Quin,Clare,
74,Ennis Friary,Abbey Street,,Ennis,Clare,
75,Allihies Copper Mine Museum,Allihies,Beara,West Cork,Cork,
76,Bantry Historical Society and Museum,Wolfe Tone Square,,Bantry,Cork,
77,Bantry House and Garden,,,Bantry,Cork,
78,Barryscourt Castle,,,Carrigtwohill,Cork,
79,Blackrock Castle Observatory,,,Blackrock,Cork,
80,Boole Library Archive Services,U.C.C.,College Road,Cork,Cork,
81,Cobh Museum,Scots Church,Highroad,Cobh,Cork,
82,Cobh Heritage Centre,,,Cobh,Cork,
83,Cork City and County Archives,Seamus Murphy Building,32 Great William O'Brien Street,Cork,Cork,
84,The Cork Butter Museum,Tony O'Reilly Centre,O'Connell Square,Shandon,Cork,
85,Cork City Gaol,Convent Avenue ,Sunday's Well,Cork,Cork,
86,Elizabeth Fort,Barracks Street,,Cork,Cork,
87,Cork Vision Centre,St. Peter's,North Main Street,Cork,Cork,
88,Crawford Municipal Art Gallery,Emmet Place,,Cork,Cork,
89,"Fota House, Arboretum and Gardens",Fota Island,,Carrigtwohill,Cork,
90,Fota Wildlife Park,,,Carrigtwohill,Cork,
91,Gurtnagrough Folk Museum,Gurtnagrough House,,Ballydehob,Cork,
92,Desmond Castle & the International Museum of Wine,Desmond Castle,Cork Street,Kinsale,Cork,
93,Kells Transport Museum,Blossomgrove,Glanmire,Cork,Cork,
94,Leahy's Open Farm and Museum,,,Dungourney,Cork,
95,Lewis Glucksman Gallery,University College Cork,,Cork,Cork,
96,Lifetime Lab @ Old Cork Waterworks,Lee Road,,Cork,Cork,
97,Michael Collins Centre,Castleview,,Clonakilty,Cork,
98,Millstreet Local Museum,Carnegie Hall,,Millstreet,Cork,
99,Mizen Head Signal Station,The Harbour Road,Golleen,West Cork,Cork,
100,Jameson Experience Midleton,Old Midleton Distillery,Distillery Walk,Middleton,Cork,
101,Schull Planetarium,Colla Road,Schull,West Cork,Cork,
102,Sirius Arts Centre,Old Yacht Club,Lower Road,Cobh,Cork,
103,Skibbereen Heritage Centre,Old Gasworks Building,Upper Bridge Street,Skibbereen,Cork,
